index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,Mastery
0,Class3,1704201556.0,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_m8vwGkEZc3TSW2xqYUoR,336,2,4c90f16c0fcd85d3de25,1.0
1,Class3,1704201540.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,316,2,4c90f16c0fcd85d3de25,1.0
2,Class3,1704201523.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,444,2,4c90f16c0fcd85d3de25,1.0
3,Class3,1704201500.0,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,312,2,4c90f16c0fcd85d3de25,1.0
4,Class3,1704201483.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_BXr9AIsPQhwNvyGdZL57,328,3,4c90f16c0fcd85d3de25,1.0
5,Class3,1704201452.0,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,4c90f16c0fcd85d3de25,1.0
6,Class3,1704199999.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,328,2,4c90f16c0fcd85d3de25,1.0
7,Class3,1704103724.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,324,2,2b9ef4e3749f713870b0,1.0
8,Class3,1704103679.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,184,2,2b9ef4e3749f713870b0,1.0
9,Class3,1704103489.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,184,2,2b9ef4e3749f713870b0,1.0
10,Class3,1704103466.0,Error8,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,184,2,2b9ef4e3749f713870b0,0.1
11,Class3,1704103450.0,Error8,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,324,3,2b9ef4e3749f713870b0,0.1
12,Class3,1704103380.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_gj1NLb4Jn7URf9K2kQPd,0,4,2b9ef4e3749f713870b0,0.1
13,Class3,1704103323.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_m8vwGkEZc3TSW2xqYUoR,0,3,2b9ef4e3749f713870b0,0.1
