index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,Mastery
0,Class6,1704029641.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,356,4,05e1c3ce1728da7e37e0,1.0
1,Class6,1704029617.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,0,5,05e1c3ce1728da7e37e0,0.1
2,Class6,1704029554.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,0,1,05e1c3ce1728da7e37e0,0.1
3,Class6,1704029475.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,0.1
4,Class6,1704029237.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,312,3,05e1c3ce1728da7e37e0,1.0
5,Class6,1704029121.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,0,2,05e1c3ce1728da7e37e0,0.1
6,Class6,1704029016.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,0,3,05e1c3ce1728da7e37e0,0.1
7,Class6,1704028895.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_5Q4KoXthUuYz3bvrTDFm,0,5,05e1c3ce1728da7e37e0,0.1
8,Class6,1704028432.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_BXr9AIsPQhwNvyGdZL57,476,--,05e1c3ce1728da7e37e0,0.1
9,Class6,1704028288.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_5Q4KoXthUuYz3bvrTDFm,316,--,05e1c3ce1728da7e37e0,0.1
10,Class6,1704028281.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,--,05e1c3ce1728da7e37e0,0.1
11,Class6,1704027689.0,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,4,05e1c3ce1728da7e37e0,1.0
12,Class6,1704027411.0,Absolutely_Correct,3,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,308,4,05e1c3ce1728da7e37e0,1.0
13,Class6,1704027385.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,0.1
14,Class6,1704027340.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,0.1
15,Class6,1704027313.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,05e1c3ce1728da7e37e0,0.1
16,Class6,1704027246.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,1,05e1c3ce1728da7e37e0,0.1
17,Class6,1704027213.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_BXr9AIsPQhwNvyGdZL57,0,1,05e1c3ce1728da7e37e0,0.1
18,Class6,1704027124.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_5Q4KoXthUuYz3bvrTDFm,364,4,05e1c3ce1728da7e37e0,0.0
19,Class6,1704026983.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,3,05e1c3ce1728da7e37e0,0.0
20,Class6,1704026963.0,Absolutely_Error,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_gj1NLb4Jn7URf9K2kQPd,348,3,05e1c3ce1728da7e37e0,0.0
21,Class6,1704026573.0,Absolutely_Correct,3,Question_Jr4Wz5jLqmN01KUwHa7g,Method_Cj9Ya2R7fZd6xs1q5mNQ,208,3,05e1c3ce1728da7e37e0,1.0
22,Class6,1704026136.0,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,184,3,05e1c3ce1728da7e37e0,1.0
23,Class6,1704025989.0,Error1,0,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_m8vwGkEZc3TSW2xqYUoR,0,3,05e1c3ce1728da7e37e0,0.1
24,Class6,1704025842.0,Absolutely_Correct,3,Question_7NJzCXUPcvQF4Mkfh9Wr,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,05e1c3ce1728da7e37e0,1.0
25,Class6,1704025583.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,312,4,05e1c3ce1728da7e37e0,1.0
26,Class6,1704025572.0,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0,0.1
27,Class6,1704025295.0,Absolutely_Correct,3,Question_NixCn84GdK2tySa5rB1V,Method_m8vwGkEZc3TSW2xqYUoR,332,5,05e1c3ce1728da7e37e0,1.0
28,Class6,1704025270.0,Error1,0,Question_NixCn84GdK2tySa5rB1V,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,0.1
29,Class6,1704025119.0,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_m8vwGkEZc3TSW2xqYUoR,184,3,05e1c3ce1728da7e37e0,1.0
30,Class6,1704025104.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,0.1
31,Class6,1704024942.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_m8vwGkEZc3TSW2xqYUoR,0,1,05e1c3ce1728da7e37e0,0.1
32,Class6,1704024883.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_5Q4KoXthUuYz3bvrTDFm,0,3,05e1c3ce1728da7e37e0,0.1
33,Class6,1704024658.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_BXr9AIsPQhwNvyGdZL57,0,3,05e1c3ce1728da7e37e0,0.1
34,Class6,1704024624.0,Error1,0,Question_TmKaGvfNoXYq4FZ2JrBu,Method_gj1NLb4Jn7URf9K2kQPd,0,2,05e1c3ce1728da7e37e0,0.1
35,Class6,1704024262.0,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_m8vwGkEZc3TSW2xqYUoR,352,3,05e1c3ce1728da7e37e0,1.0
36,Class6,1704023952.0,Absolutely_Correct,3,Question_6RQj2gF3OeK5AmDvThUV,Method_gj1NLb4Jn7URf9K2kQPd,192,4,05e1c3ce1728da7e37e0,1.0
37,Class6,1704023917.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,0.1
38,Class6,1704023912.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_5Q4KoXthUuYz3bvrTDFm,0,4,05e1c3ce1728da7e37e0,0.1
39,Class6,1704023638.0,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,312,4,05e1c3ce1728da7e37e0,1.0
40,Class6,1704023631.0,Absolutely_Correct,3,Question_h7pXNg80nJbw1C4kAPRm,Method_gj1NLb4Jn7URf9K2kQPd,324,4,05e1c3ce1728da7e37e0,1.0
41,Class6,1704023622.0,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_m8vwGkEZc3TSW2xqYUoR,316,3,05e1c3ce1728da7e37e0,0.1
42,Class6,1704023604.0,Error2,0,Question_h7pXNg80nJbw1C4kAPRm,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,3,05e1c3ce1728da7e37e0,0.1
43,Class6,1704023556.0,Error1,0,Question_h7pXNg80nJbw1C4kAPRm,Method_BXr9AIsPQhwNvyGdZL57,0,1,05e1c3ce1728da7e37e0,0.1
44,Class6,1704023205.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_BXr9AIsPQhwNvyGdZL57,0,2,05e1c3ce1728da7e37e0,0.1
45,Class6,1704023136.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,0.1
46,Class6,1704023105.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_gj1NLb4Jn7URf9K2kQPd,0,4,05e1c3ce1728da7e37e0,0.1
47,Class6,1704022818.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_BXr9AIsPQhwNvyGdZL57,0,3,05e1c3ce1728da7e37e0,0.1
48,Class6,1704022716.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_gj1NLb4Jn7URf9K2kQPd,0,4,05e1c3ce1728da7e37e0,0.1
49,Class6,1704022307.0,Error1,0,Question_s6VmP1G4UbEQWRYHK9Fd,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,05e1c3ce1728da7e37e0,0.1
50,Class6,1703133523.0,Absolutely_Correct,3,Question_7NJzCXUPcvQF4Mkfh9Wr,Method_5Q4KoXthUuYz3bvrTDFm,200,3,93f200d7351d4980fec6,1.0
51,Class6,1703133271.0,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,324,4,93f200d7351d4980fec6,1.0
52,Class6,1703132561.0,Absolutely_Correct,2,Question_s6VmP1G4UbEQWRYHK9Fd,Method_Cj9Ya2R7fZd6xs1q5mNQ,312,4,93f200d7351d4980fec6,1.0
53,Class6,1703132226.0,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_m8vwGkEZc3TSW2xqYUoR,344,3,4dfdfa5e1a04c832b9b4,1.0
54,Class6,1703132222.0,Absolutely_Correct,3,Question_4nHcauCQ0Y6Pm8DgKlLo,Method_m8vwGkEZc3TSW2xqYUoR,480,4,4dfdfa5e1a04c832b9b4,1.0
55,Class6,1703132146.0,Error1,0,Question_x2L7AqbMuTjCwPFy6vNr,Method_BXr9AIsPQhwNvyGdZL57,0,5,93f200d7351d4980fec6,0.1
56,Class6,1703131850.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_5Q4KoXthUuYz3bvrTDFm,324,4,4dfdfa5e1a04c832b9b4,1.0
57,Class6,1703131845.0,Absolutely_Correct,3,Question_oCjnFLbIs4Uxwek9rBpu,Method_BXr9AIsPQhwNvyGdZL57,324,3,4dfdfa5e1a04c832b9b4,1.0
58,Class6,1703131665.0,Absolutely_Correct,2,Question_3oPyUzDmQtcMfLpGZ0jW,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,3,93f200d7351d4980fec6,1.0
59,Class6,1703131543.0,Error2,0,Question_3oPyUzDmQtcMfLpGZ0jW,Method_BXr9AIsPQhwNvyGdZL57,184,4,93f200d7351d4980fec6,0.1
